ATTRIBUTE_ID,ORG_CODE_ID,BUILDING_CODE,ROOM_ID,QUANTITY,CREATE_DATE,CREATE_TIME,CREATE_OPID,CREATE_TERMINAL,REVISION_DATE,REVISION_TIME,REVISION_OPID,REVISION_TERMINAL,ABT_JOIN
X0200,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:00:53.947,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:00:53.947,RICHARDM,0001,*
X0900,O000000001,BN0100,A101,29,2003-09-09 00:00:00.000,1900-01-01 09:00:18.237,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:00:18.237,RICHARDM,0001,*
X1200,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:01:06.897,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:01:06.897,RICHARDM,0001,*
X1900,O000000001,BN0100,A101,5,2003-09-09 00:00:00.000,1900-01-01 09:01:35.907,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:01:35.907,RICHARDM,0001,*
X3700,O000000001,BN0100,A101,2,2003-09-09 00:00:00.000,1900-01-01 09:02:35.053,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:02:35.053,RICHARDM,0001,*
X3750,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:02:59.417,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:02:59.417,RICHARDM,0001,*
X4250,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:03:36.100,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:03:36.100,RICHARDM,0001,*
X5000,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:02:00.493,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:02:00.493,RICHARDM,0001,*
X5500,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:05:19.120,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:05:19.120,RICHARDM,0001,*
X6850,O000000001,BN0100,A101,1,2003-09-09 00:00:00.000,1900-01-01 09:07:13.183,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:07:13.183,RICHARDM,0001,*
X0200,O000000001,BN0100,A104,4,2003-09-09 00:00:00.000,1900-01-01 09:12:13.353,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:12:13.353,RICHARDM,0001,*
X0900,O000000001,BN0100,A104,31,2003-09-09 00:00:00.000,1900-01-01 09:12:02.380,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:12:02.380,RICHARDM,0001,*
X1900,O000000001,BN0100,A104,5,2003-09-09 00:00:00.000,1900-01-01 09:12:36.437,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:12:36.437,RICHARDM,0001,*
X2300,O000000001,BN0100,A104,1,2003-09-09 00:00:00.000,1900-01-01 09:13:21.213,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:13:21.213,RICHARDM,0001,*
X3600,O000000001,BN0100,A104,2,2003-09-09 00:00:00.000,1900-01-01 09:16:59.447,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:16:59.447,RICHARDM,0001,*
X3750,O000000001,BN0100,A104,1,2003-09-09 00:00:00.000,1900-01-01 09:14:23.593,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:14:23.593,RICHARDM,0001,*
X4250,O000000001,BN0100,A104,1,2003-09-09 00:00:00.000,1900-01-01 09:15:36.727,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:15:36.727,RICHARDM,0001,*
X4400,O000000001,BN0100,A104,1,2003-09-09 00:00:00.000,1900-01-01 09:16:23.193,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:16:23.193,RICHARDM,0001,*
X5500,O000000001,BN0100,A104,1,2003-09-09 00:00:00.000,1900-01-01 09:18:19.080,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:18:19.080,RICHARDM,0001,*
X0300,O000000001,BN0100,A106,39,2003-09-09 00:00:00.000,1900-01-01 09:23:36.107,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:23:36.107,RICHARDM,0001,*
X2200,O000000001,BN0100,A106,6,2003-09-09 00:00:00.000,1900-01-01 09:27:40.767,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:27:40.767,RICHARDM,0001,*
X2300,O000000001,BN0100,A106,9,2003-09-09 00:00:00.000,1900-01-01 09:27:57.443,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:27:57.443,RICHARDM,0001,*
X3700,O000000001,BN0100,A106,2,2003-09-09 00:00:00.000,1900-01-01 09:29:01.997,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:29:01.997,RICHARDM,0001,*
X4600,O000000001,BN0100,A106,2,2003-09-09 00:00:00.000,1900-01-01 09:28:24.170,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:28:24.170,RICHARDM,0001,*
X6700,O000000001,BN0100,A106,1,2003-09-09 00:00:00.000,1900-01-01 09:29:31.187,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:29:31.187,RICHARDM,0001,*
X0900,O000000001,BN0100,A107,16,2003-09-09 00:00:00.000,1900-01-01 09:34:56.897,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:34:56.897,RICHARDM,0001,*
X1900,O000000001,BN0100,A107,6,2003-09-09 00:00:00.000,1900-01-01 09:35:16.323,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:35:16.323,RICHARDM,0001,*
X3600,O000000001,BN0100,A107,1,2003-09-09 00:00:00.000,1900-01-01 09:38:24.653,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:38:24.653,RICHARDM,0001,*
X4250,O000000001,BN0100,A107,1,2003-09-09 00:00:00.000,1900-01-01 09:35:50.383,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:35:50.383,RICHARDM,0001,*
X4500,O000000001,BN0100,A107,1,2003-09-09 00:00:00.000,1900-01-01 09:37:44.517,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:37:44.517,RICHARDM,0001,*
X5000,O000000001,BN0100,A107,1,2003-09-09 00:00:00.000,1900-01-01 09:36:57.377,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:36:57.377,RICHARDM,0001,*
X6850,O000000001,BN0100,A107,1,2003-09-09 00:00:00.000,1900-01-01 09:38:51.923,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:38:51.923,RICHARDM,0001,*
X1200,O000000001,BN0100,A109,20,2003-09-09 00:00:00.000,1900-01-01 09:42:40.653,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:42:40.653,RICHARDM,0001,*
X3700,O000000001,BN0100,A109,1,2003-09-09 00:00:00.000,1900-01-01 09:43:45.307,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:43:45.307,RICHARDM,0001,*
X5000,O000000001,BN0100,A109,1,2003-09-09 00:00:00.000,1900-01-01 09:43:14.690,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:43:14.690,RICHARDM,0001,*
X6100,O000000001,BN0100,A109,21,2003-09-09 00:00:00.000,1900-01-01 09:44:09.160,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:44:09.160,RICHARDM,0001,*
X6300,O000000001,BN0100,A109,1,2003-09-09 00:00:00.000,1900-01-01 09:44:40.797,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:44:40.797,RICHARDM,0001,*
X0300,O000000001,BN0100,A109A,20,2003-09-09 00:00:00.000,1900-01-01 09:46:16.563,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:46:16.563,RICHARDM,0001,*
X2200,O000000001,BN0100,A109A,1,2003-09-09 00:00:00.000,1900-01-01 09:51:41.210,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:51:41.210,RICHARDM,0001,*
X2400,O000000001,BN0100,A109A,5,2003-09-09 00:00:00.000,1900-01-01 09:51:23.173,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:51:23.173,RICHARDM,0001,*
X3700,O000000001,BN0100,A109A,1,2003-09-09 00:00:00.000,1900-01-01 09:53:00.883,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:53:00.883,RICHARDM,0001,*
X4250,O000000001,BN0100,A109A,1,2003-09-09 00:00:00.000,1900-01-01 09:53:44.487,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:53:44.487,RICHARDM,0001,*
X4400,O000000001,BN0100,A109A,1,2003-09-09 00:00:00.000,1900-01-01 09:52:34.347,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:52:34.347,RICHARDM,0001,*
X6850,O000000001,BN0100,A109A,1,2003-09-09 00:00:00.000,1900-01-01 09:54:04.197,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:54:04.197,RICHARDM,0001,*
X0300,O000000001,BN0100,A110,34,2003-09-09 00:00:00.000,1900-01-01 09:56:06.360,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:56:06.360,RICHARDM,0001,*
X0700,O000000001,BN0100,A110,1,2003-09-09 00:00:00.000,1900-01-01 09:56:20.660,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 09:56:20.660,RICHARDM,0001,*
X1600,O000000001,BN0100,A110,1,2003-09-09 00:00:00.000,1900-01-01 10:01:18.110,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:01:18.110,RICHARDM,0001,*
X2400,O000000001,BN0100,A110,9,2003-09-09 00:00:00.000,1900-01-01 10:01:44.297,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:01:44.297,RICHARDM,0001,*
X3700,O000000001,BN0100,A110,3,2003-09-09 00:00:00.000,1900-01-01 10:02:29.973,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:02:29.973,RICHARDM,0001,*
X3900,O000000001,BN0100,A110,1,2003-09-09 00:00:00.000,1900-01-01 10:04:02.667,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:04:02.667,RICHARDM,0001,*
X4100,O000000001,BN0100,A110,1,2003-09-09 00:00:00.000,1900-01-01 10:02:56.890,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:02:56.890,RICHARDM,0001,*
X4600,O000000001,BN0100,A110,1,2003-09-09 00:00:00.000,1900-01-01 10:03:22.617,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:03:22.617,RICHARDM,0001,*
X5000,O000000001,BN0100,A110,1,2003-09-09 00:00:00.000,1900-01-01 10:01:59.557,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:01:59.557,RICHARDM,0001,*
X0300,O000000001,BN0100,A111,34,2003-09-09 00:00:00.000,1900-01-01 10:06:07.537,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:06:07.537,RICHARDM,0001,*
X2400,O000000001,BN0100,A111,8,2003-09-09 00:00:00.000,1900-01-01 10:06:23.077,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:06:23.077,RICHARDM,0001,*
X3700,O000000001,BN0100,A111,2,2003-09-09 00:00:00.000,1900-01-01 10:08:46.093,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:08:46.093,RICHARDM,0001,*
X4400,O000000001,BN0100,A111,1,2003-09-09 00:00:00.000,1900-01-01 10:08:03.533,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:08:03.533,RICHARDM,0001,*
X4500,O000000001,BN0100,A111,1,2003-09-09 00:00:00.000,1900-01-01 10:08:21.937,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:08:21.937,RICHARDM,0001,*
X4600,O000000001,BN0100,A111,1,2003-09-09 00:00:00.000,1900-01-01 10:06:59.890,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:06:59.890,RICHARDM,0001,*
X5000,O000000001,BN0100,A111,1,2003-09-09 00:00:00.000,1900-01-01 10:06:36.587,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:06:36.587,RICHARDM,0001,*
X5500,O000000001,BN0100,A111,1,2003-09-09 00:00:00.000,1900-01-01 10:07:19.247,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:07:19.247,RICHARDM,0001,*
X0400,O000000001,BN0300,101,1,2003-09-09 00:00:00.000,1900-01-01 10:11:47.553,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:11:47.553,RICHARDM,0001,*
X0500,O000000001,BN0300,101,32,2003-09-09 00:00:00.000,1900-01-01 10:11:38.330,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:11:38.330,RICHARDM,0001,*
X2200,O000000001,BN0300,101,1,2003-09-09 00:00:00.000,1900-01-01 10:12:23.787,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:12:23.787,RICHARDM,0001,*
X2300,O000000001,BN0300,101,10,2003-09-09 00:00:00.000,1900-01-01 10:12:08.033,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:12:08.033,RICHARDM,0001,*
X3200,O000000001,BN0300,101,1,2003-09-09 00:00:00.000,1900-01-01 10:24:02.460,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:24:02.460,RICHARDM,0001,*
X3600,O000000001,BN0300,101,6,2003-09-09 00:00:00.000,1900-01-01 10:12:55.763,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:13:59.133,RICHARDM,0001,*
X4600,O000000001,BN0300,101,1,2003-09-09 00:00:00.000,1900-01-01 10:15:49.853,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:15:49.853,RICHARDM,0001,*
X5000,O000000001,BN0300,101,1,2003-09-09 00:00:00.000,1900-01-01 10:24:29.950,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:24:29.950,RICHARDM,0001,*
X0500,O000000001,BN0300,103,38,2003-09-09 00:00:00.000,1900-01-01 10:17:49.083,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:17:49.083,RICHARDM,0001,*
X2200,O000000001,BN0300,103,3,2003-09-09 00:00:00.000,1900-01-01 10:18:35.450,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:26:19.897,RICHARDM,0001,*
X2300,O000000001,BN0300,103,7,2003-09-09 00:00:00.000,1900-01-01 10:18:17.143,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:18:17.143,RICHARDM,0001,*
X3200,O000000001,BN0300,103,1,2003-09-09 00:00:00.000,1900-01-01 10:19:26.823,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:19:26.823,RICHARDM,0001,*
X3600,O000000001,BN0300,103,6,2003-09-09 00:00:00.000,1900-01-01 10:19:59.630,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:19:59.630,RICHARDM,0001,*
X4100,O000000001,BN0300,103,1,2003-09-09 00:00:00.000,1900-01-01 10:21:10.173,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:21:10.173,RICHARDM,0001,*
X4500,O000000001,BN0300,103,1,2003-09-09 00:00:00.000,1900-01-01 10:21:45.053,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:21:45.053,RICHARDM,0001,*
X5000,O000000001,BN0300,103,1,2003-09-09 00:00:00.000,1900-01-01 10:20:13.593,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:20:13.593,RICHARDM,0001,*
X0900,O000000001,BN0300,205,39,2003-09-09 00:00:00.000,1900-01-01 10:30:22.657,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:30:22.657,RICHARDM,0001,*
X1300,O000000001,BN0300,205,3,2003-09-09 00:00:00.000,1900-01-01 10:30:45.090,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:30:56.577,RICHARDM,0001,*
X2200,O000000001,BN0300,205,1,2003-09-09 00:00:00.000,1900-01-01 10:31:19.940,RICHARDM,0001,2003-09-09 00:00:00.000,1900-01-01 10:31:19.940,RICHARDM,0001,*
